,Stock Code,Investment2019,Market Value of Equity,Total Market Value,Stock Return,Total Investment Expenditure,Amortization and Depreciation,Book Value,Operating Income after Depreciation,Annual Dividends,Leverage,Cash,Age,Size
45,600137,8457.578514,1514650.02,1514650.02,0.128168,26960.77036,13253.18768,530127.507,135182.5143,21629.20229,0.44835,62176.38332,1.505149978,6.15766381
46,600735,17009.57191,2496588.85,2496588.85,0.074434,32455.65505,15291.60671,1198362.648,240271.7109,49495.97245,1.10016,116915.2558,1.204119983,6.006380537
47,600793,7096.117193,1698489.0,2038186.8,-0.039881,24797.9394,17834.1345,305728.02,83922.34149,18714.68215,0.71799,84707.04341,1.51851394,6.118531157
48,509,18401.1351,1981151.7,1981159.48,0.052632,34075.80924,19563.87304,1030198.884,233340.0472,41767.86845,0.16463,83307.75613,1.491361694,6.085406135
49,659,12227.64809,3497110.85,3497110.85,0.038168,43713.88563,27976.8868,1678613.208,494351.5898,119633.0847,0.73889,119915.931,1.447158031,5.288036752
50,637,16281.67083,1641897.45,2329041.59,0.082126,26270.3592,16213.73732,311960.5155,79705.91171,14586.18184,0.74133,116452.0795,1.255272505,5.769307767
51,819,11691.64313,2307580.12,2307730.54,0.053316,29075.50951,15864.61333,484591.8252,144650.6598,38621.72617,0.82845,103732.4878,1.491361694,5.580916693
52,600691,31093.38819,3688420.9,4989562.1,0.014493,59014.7344,36884.209,1917978.868,312630.5555,69403.98332,0.59842,35276.20405,0.698970004,5.564251837
53,677,15552.88219,3188078.63,3188078.63,-0.028947,46864.75586,20324.00127,1083946.734,223835.0006,46781.51513,0.52649,124653.8744,0.301029996,6.181507477
54,703,96257.85982,31774562.56,39556818.6,-0.000718,387649.6632,301858.3443,5719421.261,1549963.162,322392.3376,0.2756,122230.5695,0.698970004,5.574666039
55,672,132425.1579,14749304.76,14881107.44,0.150314,196165.7533,132743.7428,3687326.19,849928.6868,185284.4537,0.21343,184525.7323,1.230448921,6.232238505
56,600668,14060.48326,5436524.48,5436524.48,0.143271,80460.5623,50287.85144,2826992.73,660102.8024,125419.5324,1.09112,151787.7635,1.0,5.75017371
57,600678,5043.881102,2725611.9,2725611.9,0.44898,39248.81136,29300.32793,654146.856,195916.9834,47215.99299,0.23508,111232.2216,0.602059991,5.857828206
58,600881,83039.0922,10282587.54,10364034.35,0.063333,150125.7781,66836.81901,5552597.272,1163269.128,196592.4827,1.085,64671.57434,0.0,5.246949963
59,600883,26211.54743,1803712.32,1803712.32,0.24026,27055.6848,14429.69856,1010078.899,265145.711,56476.03645,0.23014,65637.09132,0.954242509,6.849557514
60,519,64349.31989,7106774.41,10611299.44,0.049587,47970.72727,49747.42087,2771642.02,735870.9563,134664.385,1.25874,206071.4351,1.255272505,5.9
61,600879,76005.45568,14457837.19,16261242.28,0.020478,104096.4278,75903.64525,4048194.413,1022169.089,153325.3634,0.26735,239528.0988,0.903089987,4.81
62,760,9272.604737,981666.4,1157766.94,0.006711,6920.74812,5889.9984,549733.184,153925.2915,29553.65597,0.17928,39966.11477,0.84509804,5.65
63,584,5744.393802,3751440.85,3845543.61,0.062712,38764.88878,33294.03754,2138321.285,629735.6183,168769.1457,0.58258,9075.48292,0.301029996,5.012986277
64,1696,10801.23042,5186665.27,6664056.67,0.096045,60943.31692,51866.6527,1763466.192,430285.7508,86917.72166,0.94887,353994.6903,0.0,5.401295759
109,200550,35779.98961,2067440.0,2067440.0,0.013491,13955.22,16022.66,1033720.0,263081.74,50248.61234,0.14801,66923.0328,1.505149978,5.99
114,600660,1080080.785,48051642.1,48051642.1,0.079172,792852.0947,252271.121,10090844.84,2790118.599,705900.0054,0.82222,1823559.818,0.698970004,6.24236722
115,200055,6746.1937,1459670.08,1459670.08,0.089404,18537.81002,14049.32452,729835.04,210192.4915,39726.3809,0.33151,17545.23436,1.113943352,6.256566727
116,601882,58897.4166,3784500.0,3784500.0,0.031295,59795.1,18922.5,1097505.0,329251.5,78032.6055,0.3316,209926.215,1.447158031,5.902523011
131,200986,3242.508896,417777.75,1228182.75,0.056522,5932.44405,4438.888594,87733.3275,13510.93244,3148.047257,0.46532,36317.36392,1.322219295,4.686270872
132,603169,119884.3107,6095070.4,6140774.75,0.035461,42360.73928,44189.2604,2255176.048,634832.0575,130775.4038,0.34721,242806.2336,1.431363764,6.42
134,600711,177010.1104,8039975.49,12209500.89,0.135193,140699.5711,45224.86213,1929594.118,328031.0,52156.929,0.92142,398762.2991,1.477121255,5.740654888
135,603690,4468.473562,3004015.84,8437829.91,0.481364,32293.17028,28538.15048,540722.8512,106792.7631,28940.8388,0.28191,40417.20527,0.301029996,5.968921023
136,601212,138984.1804,7230004.31,27249570.2,0.098508,129417.0771,52417.53125,2458201.465,384708.5293,93099.4641,0.31267,73573.83954,1.146128036,5.870135446
139,600686,19562.62994,4259304.35,4259304.35,0.052474,58210.49278,31412.36958,1618535.653,382783.6819,97992.62258,1.01518,25726.19827,0.602059991,5.876139023
140,200625,31950.45844,4239334.87,4239334.87,0.323944,29463.37735,29675.34409,2331634.179,641199.3991,173123.8378,1.10205,93986.05407,1.414973348,4.3
142,200992,2288.799828,422280.0,814178.24,-0.016077,7558.812,3272.67,194248.8,37587.1428,7066.382846,0.48775,42377.97739,1.431363764,5.738254325
143,200726,4387.971001,1265255.98,1265255.98,0.04246,17966.63492,9173.105855,708543.3488,133560.4212,33390.10531,0.38537,65008.85225,1.278753601,5.692216064
146,601865,15846.20745,1819500.0,18195000.0,0.247294,30749.55,10917.0,1037115.0,257723.0775,44328.36933,0.89984,501818.1,1.505149978,6.794251524
147,600139,32032.1405,2323235.68,2323235.68,0.08,14636.38478,15681.84084,1045456.056,213795.7635,42117.7654,0.8691,83148.60499,1.505149978,4.41
152,600968,56590.9566,5464755.3,29783755.3,0.050179,85796.65821,49865.89211,2131254.567,348460.1217,71782.78507,0.99958,1005201.741,1.146128036,6.892964298
156,200771,10680.23544,2237354.5,6152724.86,0.05974,31994.16935,16780.15875,626459.26,167891.0817,47009.50287,1.25762,330893.543,0.698970004,5.936541698
159,601766,921522.6989,163632323.0,173700478.1,0.02439,1745411.445,899977.7763,44180727.2,7135187.443,1170170.741,0.7701,9513575.183,0.477121255,5.277160911
160,695,25607.90012,1658475.62,1661663.59,0.05949,27364.84773,10572.78208,530712.1984,136127.6789,22324.93934,0.47523,62628.10071,1.505149978,5.451316599
164,600362,220028.047,35133938.57,35133938.57,0.201561,593763.5618,237154.0853,16161611.74,3903029.236,936727.0166,0.16561,697057.3412,1.477121255,6.396407692
165,2785,32632.36501,2217222.83,2866000.0,-0.106051,26828.39624,12471.87842,798200.2188,156048.1428,41508.80598,1.13757,122750.78,0.903089987,4.842745546
170,200761,20030.2998,808000.0,808000.0,0.063158,13897.6,4141.0,242400.0,51994.8,12010.7988,0.80947,6593.28,0.84509804,6.794215574
179,200581,6241.671508,2308168.2,2308168.2,0.062698,25005.1555,19330.90868,877103.916,137705.3148,28367.29485,1.0271,100866.9503,0.301029996,4.821485902
191,200505,697.4772888,194275.25,194275.25,-0.009934,2661.570925,2088.458938,33026.7925,9643.82341,1986.627622,0.46969,4062.295478,0.0,5.701233771
192,2703,2040.582919,2544103.38,2635154.33,0.047836,30741.24918,27031.09841,1195728.589,307302.2473,73445.2371,0.50059,9064.930895,0.602059991,5.336062444
193,600429,25764.59569,4823250.0,8161687.97,0.056202,65113.875,37380.1875,2556322.5,653140.3988,150875.4321,1.08397,161438.188,0.602059991,6.557773141
198,200706,1288.580592,461526.0,1171566.0,0.028269,6692.127,4846.023,101535.72,20357.91186,3053.686779,0.19851,15312.36762,1.477121255,5.214838776
199,600871,259522.1143,27216413.85,36533274.12,0.031963,353813.3801,176906.69,5443282.77,884533.4501,191943.7587,0.7583,1412741.71,1.462397998,5.989452174
200,525,26871.0366,5583156.97,5645112.33,0.189718,67556.19934,48154.72887,1730778.661,417983.0466,90702.3211,1.02195,84337.97821,0.903089987,5.658277602
201,600802,32265.54476,3375763.21,3375763.21,0.169312,41859.4638,23630.34247,1282790.02,286062.1744,47486.32095,1.12715,63363.07545,0.602059991,5.430313469
215,601005,218737.3562,15457378.01,15503878.87,-1e-06,251955.2616,148777.2633,7728689.005,1623024.691,421986.4197,1.17794,31627.91289,0.954242509,5.953367508
216,2265,24963.47863,2666563.5,2793825.33,0.073439,32887.6165,17665.98319,1306616.115,345599.9624,68428.79256,0.46835,14946.96552,0.477121255,5.462257823
218,200530,4880.056309,536130.0,536130.0,0.042254,6755.238,3015.73125,257342.4,50053.0968,12863.64588,0.67605,22383.4275,0.477121255,4.771497085
219,552,73486.85669,5892052.46,5900385.31,0.023809,86613.17116,36825.32788,3181708.328,897241.7486,162400.7565,0.84605,115175.5213,0.0,5.831205574
220,603993,375460.9638,77022768.46,77022768.46,0.224719,1209257.465,664321.378,40051839.6,10113089.5,2659742.538,0.32903,512201.4103,0.903089987,4.788601231
221,600688,601733.3025,28362508.25,28362508.25,-0.01023,493507.6436,226900.066,11061378.22,2765344.554,760469.7525,0.23886,1251637.489,1.113943352,5.85161258
222,600855,60417.67525,4190049.72,5402574.46,0.038007,26606.81572,26187.81075,1550318.396,348046.48,92232.3172,1.12834,234849.9118,1.380211242,5.69
227,600176,575383.4152,38175144.65,38175144.65,0.207087,679517.5748,257682.2264,8780283.27,1624352.405,274515.5564,0.58038,2121011.037,1.176091259,6.038598369
228,600567,111510.0556,17284361.1,17284361.1,0.16,302476.3193,159880.3402,4148246.664,1024616.926,202874.1513,1.02598,934565.4047,0.84509804,5.599278596
229,300591,13117.41185,654368.0,1784640.0,0.036232,10535.3248,4498.78,327184.0,77706.2,13054.6416,0.67015,75579.504,1.397940009,5.783576482
231,601968,25379.2571,4224999.83,4224999.83,-0.061111,65064.99738,39609.37341,2281499.908,438047.9824,99436.892,0.99824,103174.4958,0.0,5.537848001
234,553,39131.8377,4686167.02,22795042.41,0.01626,84351.00636,39832.41967,1593296.787,415850.4614,116022.2787,0.15008,390707.0269,1.176091259,5.777418853
235,600800,9917.583832,3384696.5,3386441.6,-0.052991,40616.358,35962.40031,1387725.565,243545.8367,43351.15893,0.2245,39993.8753,1.230448921,6.387065124
236,23,4555.718955,1806606.24,1806606.24,0.067213,24931.16611,17388.58506,433585.4976,122054.3176,21603.61421,0.89522,8238.124454,1.146128036,6.597181886
243,600965,25458.52547,5796402.76,5796402.76,0.008547,84047.84002,54341.27588,2666345.27,534602.2266,98366.80969,1.05992,112218.3574,1.322219295,5.933736715
247,506,11404.84464,2674572.37,2675571.15,0.028572,35839.26976,17050.39886,561660.1977,111489.5492,25754.08588,0.83269,107718.4945,1.491361694,6.405053064
248,510,12780.95111,2285833.29,2534198.18,0.083333,28572.91613,16858.02051,1097199.979,285271.9946,77879.25452,1.2062,82488.15076,0.698970004,5.912531304
249,600699,110845.7793,22147008.86,22147008.86,0.169935,304521.3718,232543.593,7308512.924,1348420.634,219792.5634,0.35994,879679.1919,0.0,6.405314875
253,200869,9001.501548,3598369.63,3598369.63,0.028515,43900.10949,24288.995,611722.8371,178011.3456,47885.05197,1.21739,42280.84315,1.414973348,6.342772543
263,600182,14567.48207,2757400.0,5514800.0,0.058056,41636.74,19991.15,1626866.0,474231.439,84413.19614,0.2324,57739.956,1.397940009,5.744470621
266,600188,247835.3279,31256327.52,31257600.0,0.124601,525106.3023,308656.2343,15628163.76,3922669.104,808069.8354,1.23664,927725.568,1.230448921,6.566633438
267,752,6588.555204,1200101.13,1200101.13,0.243169,16201.36526,12601.06187,552046.5198,92743.81533,24298.87962,0.95728,21853.84158,1.301029996,6.106484235
268,12,111878.4484,9807339.25,10014137.45,0.146453,154955.9602,69877.29216,1667247.673,305939.9479,59964.22979,0.21153,206291.2315,1.079181246,5.368462031
271,2105,10805.5255,2174150.0,2174150.0,0.236897,27720.4125,12501.3625,913143.0,182172.0285,45725.17915,0.68099,26589.8545,0.477121255,6.141912405
273,600808,47652.91096,18320996.14,18320996.14,0.116364,250997.6471,180919.8369,9710127.954,2767386.467,766566.0513,0.70243,191271.1997,0.77815125,6.579229032
278,600371,47516.47106,2745732.0,2745732.0,0.116194,42009.6996,17504.0415,961006.2,175383.6315,28412.1483,0.17151,133991.7216,0.602059991,5.616226682
280,200553,10882.28773,818541.77,818541.77,-0.002037,11132.16807,4808.932899,163708.354,25129.23234,4297.09873,0.9724,33953.11262,1.0,4.707638196
281,600480,25275.37511,4188131.75,4212331.95,0.269422,53049.66883,28269.88931,1130795.573,338673.274,60622.51604,0.38736,56024.01494,0.602059991,5.251011216
283,600873,208858.0805,13709321.16,13814088.89,0.074879,204268.8853,78828.59667,4249889.56,720356.2804,112375.5797,0.71433,446195.0711,1.146128036,6.142247631
284,600809,703329.2175,77666589.46,78176085.46,0.00403,1180532.16,834915.8367,13203320.21,3287626.732,549033.6642,0.94227,2809648.511,0.301029996,5.608545775
285,601718,248891.7407,14316711.86,14316711.86,0.028391,237657.4169,118112.8728,8017358.642,1992313.622,356624.1384,1.06252,376386.3548,1.255272505,5.386212466
286,600961,28239.92163,4383175.27,4383175.27,-0.013064,63117.72389,46023.34034,964298.5594,254574.8197,67462.32722,0.39474,12623.54478,1.361727836,6.383511932
287,530,40725.44389,2349149.55,2364730.15,0.070845,39935.54235,19674.12748,516812.901,117316.5285,28859.86602,1.22697,28092.99418,1.447158031,5.515849689
288,200030,924.2643,156367.85,156367.85,0.012384,2176.119246,1641.862425,76620.2465,21760.15001,4352.030001,0.55363,8626.814285,0.301029996,4.974503675
296,601069,54868.24788,9603600.0,9603600.0,0.052999,160380.12,67225.2,2304864.0,406808.496,98854.46453,1.061,43408.272,0.77815125,6.484438502
297,856,25136.18285,2444790.0,2444790.0,0.041586,17235.7695,18335.925,831228.6,141308.862,37729.46615,0.63452,51511.7253,1.447158031,4.37
298,603002,7708.879207,2617393.84,2617393.84,0.097939,34811.33807,22575.02187,1230175.105,299547.638,46130.33625,0.4805,7747.485766,0.602059991,6.032181835
299,600894,128427.4658,6458201.18,6458201.18,0.063739,107206.1396,50051.05915,2841608.519,646465.9381,121535.5964,0.66522,197620.9561,0.954242509,5.002934457
300,550,135758.8294,7154790.57,7165153.2,-0.030218,42928.74342,55449.62692,3577395.285,892560.1236,188330.1861,1.10125,187153.8016,0.84509804,5.04
310,603335,11735.70972,986366.81,2076501.31,0.040772,6855.24933,6164.792563,414274.0602,119518.0664,32030.84179,1.28201,42443.68678,1.477121255,5.46
313,200596,66202.74735,8497200.0,8497200.0,0.220652,125758.56,92407.05,5098320.0,1473414.48,232799.4878,0.54097,245823.996,0.301029996,5.162487138
316,2969,1360.372308,1135536.15,11355358.36,0.0,14194.20188,11923.12958,442859.0985,104071.8881,24665.03749,0.839,211096.1119,1.462397998,5.580895213
318,600343,78822.19395,5839588.08,5839588.08,0.040956,38833.26073,40877.11656,3036585.802,570878.1307,141577.7764,1.04144,215305.6125,1.380211242,4.46
323,603299,24599.38211,3865730.4,5360300.2,0.069659,49481.34912,26576.8965,1159719.12,287030.4822,46498.93812,0.35717,131756.1789,0.903089987,5.679857996
324,565,26076.35431,2337062.07,2337062.07,0.106776,30381.80691,13730.23966,701118.621,151441.6221,28925.34983,0.88921,21617.82415,1.041392685,5.150045411
325,629,175304.8827,13920045.95,25082058.91,0.046595,233856.772,146160.4825,4315214.245,1046439.454,246959.7112,1.01068,280417.4186,1.397940009,6.843660926
328,600929,48446.27466,2212984.74,6020447.53,0.028213,37178.14363,12448.03916,796674.5064,217890.4775,53818.94794,0.15302,128777.3727,1.414973348,5.701282483
330,923,10219.23302,2924460.0,9640806.75,0.037219,35385.966,29244.6,1111294.8,273378.5208,59869.89606,1.27195,87634.93336,1.079181246,5.659374369
331,603505,30163.12601,2329198.92,4989600.0,0.231635,37267.18272,20962.79028,582299.73,112966.1476,22480.26338,1.17141,236008.08,1.113943352,5.628863195
332,837,13666.80487,2493555.72,2967627.49,0.014218,37153.98023,14337.94539,997422.288,225417.4371,57481.44646,0.54746,72439.78703,1.51851394,5.527911672
333,716,27989.08879,2766321.61,3105006.96,0.405406,47857.36385,15906.34926,442611.4576,114857.6732,18377.22772,1.25537,95696.31451,1.176091259,4.557038503
334,200054,804.7363068,138300.0,550318.75,0.057338,836.715,968.1,49788.0,12919.986,2480.637312,0.97001,1623.440313,1.204119983,6.63
335,17,18336.71917,1369474.16,1369492.04,0.061033,9517.845412,10613.42474,314979.0568,93863.75893,20180.70817,0.36745,60531.54817,1.204119983,4.98
344,2042,116127.0518,11143187.0,11152216.57,0.09389,176062.3546,104467.3781,1671478.05,488071.5906,116161.0386,0.17871,286611.9658,1.51851394,6.181453684
345,600801,355049.5958,35994484.57,35994484.57,0.199183,503922.784,287955.8766,12598069.6,2192064.11,344154.0653,0.4461,1674823.367,0.698970004,6.082861136
346,559,77831.43137,14784412.14,14784466.27,0.057087,90184.91405,73922.0607,6357297.22,1271459.444,301335.8882,0.29802,320527.2287,1.447158031,6.19
347,600862,45107.53374,15351401.16,15351401.16,0.14553,166306.8459,111297.6584,7061644.534,1825435.112,390643.114,1.08169,307335.0512,0.477121255,7.152314129
353,600150,191497.3414,29987838.93,29987838.93,0.080974,327367.2417,206166.3926,5697689.397,1675120.683,425480.6534,0.98761,1643933.33,0.0,6.316027059
354,600359,2197.949059,2086875.13,2086875.13,-0.028419,25459.87659,20607.89191,1106043.819,168671.6824,41999.24891,0.93663,43386.13395,1.146128036,5.58229738
357,898,170752.7964,26778871.53,26778929.17,0.063492,369548.4271,267788.7153,12318280.9,2463656.181,628232.3261,1.16226,348126.0792,1.397940009,6.806911676
358,570,7444.591107,1888208.16,1888208.16,0.057604,25868.45179,14397.58722,547580.3664,132514.4487,23587.57186,0.82945,41465.05119,1.431363764,5.770629494
366,600889,13005.82273,1561763.85,1692518.57,0.069445,22333.22306,10541.90599,546617.3475,143760.3624,39965.38075,0.55504,45376.42286,0.301029996,6.01218138
367,600146,61568.10849,6344595.0,6344595.0,-0.041874,100244.601,38860.64438,3679865.1,986203.8468,152861.5963,0.14298,209054.4053,1.230448921,6.938221162
373,601225,516823.8625,89900000.0,89900000.0,0.060141,1213650.0,797862.5,30566000.0,7565085.0,1687013.955,0.57522,4133602.0,1.079181246,6.288894345
374,600073,149566.7517,7473703.89,7473703.89,0.028387,132284.5589,56052.77918,3736851.945,614712.145,149989.7634,0.82371,188412.0751,1.176091259,5.880570465
375,600689,18200.84613,1491600.6,1491600.6,0.064061,26401.33062,13610.85548,805464.324,207809.7956,47796.25299,1.21948,7801.071138,1.361727836,5.871267589
376,600836,54720.28629,3293882.77,3293882.77,0.1373,50067.0181,22233.7087,1284614.28,296103.5916,53594.75008,1.26268,131458.8614,1.477121255,6.160875851
377,600720,99363.40413,9740841.72,9742443.04,0.172897,134423.6157,53574.62946,2824844.099,491522.8732,83067.36557,1.04088,516641.7544,1.431363764,6.955043689
396,831,122335.7517,12712321.19,12712321.19,0.125977,180514.9609,98520.48922,2415341.026,649726.736,178674.8524,0.26555,42077.78314,1.176091259,6.180950214
399,600489,366457.8014,29265643.36,29265643.36,0.081633,491662.8084,179252.0656,16681416.72,2777455.883,458280.2207,0.57089,346797.8738,1.230448921,6.66669965
406,404,24535.93706,2743760.05,2749184.12,0.044974,33199.4966,17491.47032,1371880.025,384126.407,82203.0511,0.18222,67822.37224,0.903089987,6.074471477
411,600238,6994.356824,2634409.35,2653344.0,0.09427,35564.52623,22392.47948,447849.5895,72103.78391,16872.28543,0.3773,126007.3066,0.903089987,5.353923767
412,600585,3626169.675,219183701.3,219183701.3,0.196507,3857633.143,1287704.245,54795925.33,15589440.76,3273782.559,0.67668,10731234.02,1.041392685,6.020042597
413,600875,116473.3915,18351514.38,25279883.53,0.033746,245910.2927,133048.4793,6973575.464,1973521.856,315763.497,0.40594,212351.0217,1.0,6.158026756
419,600123,102161.1169,7334208.0,7334208.0,0.042208,123214.6944,76092.408,2713656.96,740828.3501,192615.371,0.29108,21635.9136,1.322219295,6.81195605
420,600169,345896.8526,5974015.15,5974015.15,0.017467,26683.93434,32857.08333,1612984.091,350017.5476,86454.33427,0.29084,329407.1954,1.414973348,6.19
421,953,17242.72561,1276217.96,1276217.96,0.189041,21312.83993,12443.12511,446676.286,83751.80363,20267.93648,0.35265,33845.3003,1.505149978,5.641450987
422,595,16479.46303,2398120.3,2438050.81,-0.061765,39089.36089,12889.89661,719436.09,119426.3909,18391.6642,0.9578,133190.7158,0.77815125,5.60721226
423,2067,40787.59851,3251743.84,3711411.34,0.091504,41622.32115,21136.33496,1918528.866,575558.6597,154249.7208,1.04669,73151.91751,0.301029996,6.09345737
424,410,79019.40222,11447027.36,11468284.78,0.030257,168271.3022,121624.6657,4464340.67,1207604.151,323637.9126,0.29113,82227.60187,0.698970004,5.71234519
425,301,66903.5477,6310464.79,20870495.69,0.033932,94656.97185,45750.86973,1514511.55,345308.6333,75622.59069,0.43522,703544.4097,1.041392685,5.67655471
426,600019,1281478.704,126860239.0,127855402.6,0.04936,2156624.062,745303.9038,46938288.41,7650941.011,1690857.963,0.98285,3351090.101,1.447158031,6.603531308
432,600470,24608.05106,2232448.0,2232448.0,0.07,39960.8192,17301.472,446489.6,122114.9056,33947.94376,0.91998,43041.59744,1.361727836,6.219828646
433,528,199432.371,10150671.1,10242894.35,0.092913,73592.36548,91356.0399,5684375.816,1105611.096,275297.163,1.18199,508764.5624,1.176091259,6.76
440,911,21915.4224,1944485.62,1944485.62,0.197605,27806.14437,16771.18847,797239.1042,167021.5923,30230.90821,0.86573,43206.47048,1.505149978,5.881744152
441,600028,3969636.558,488300210.1,488300210.1,0.024048,7324503.151,2990838.787,244150105.0,52614347.63,11680385.17,0.263,9897845.258,1.255272505,6.521778842
442,2209,33991.31956,1072400.6,1354993.71,0.026627,6970.6039,9115.4051,482580.27,81073.48536,16620.0645,1.0076,10216.65257,1.204119983,5.07
443,2075,219428.1961,13748181.6,13748188.14,0.021312,202098.2695,97955.7939,7836463.512,2088417.526,421860.3402,0.4062,396497.746,1.146128036,6.340529888
445,789,110110.7868,9735701.75,9735932.61,0.207715,162586.2192,77885.614,2725996.49,520665.3296,145786.2923,0.6004,361884.6151,1.041392685,6.147493667
446,603028,25970.28558,2609856.0,2609856.0,0.130019,33406.1568,21531.312,391478.4,98652.5568,14995.18863,0.97743,105594.7738,0.954242509,5.450187699
447,601002,59269.37819,4661017.2,4661017.2,0.061372,56864.40984,29713.98465,2563559.46,721641.988,199173.1887,0.9277,133491.5326,0.602059991,5.87857062
448,603011,52496.71132,2258214.45,2278966.21,0.047916,35002.32398,12137.90267,474225.0345,136102.5849,22184.72134,1.11264,111350.289,0.602059991,5.61416061
450,680,12660.92946,3857794.25,4528874.78,0.079882,28354.78774,29897.90544,1350227.988,356460.1887,99808.85284,0.47551,50542.24254,0.698970004,6.71
452,820,1909.495418,483263.63,1070571.97,0.12,7345.607176,4711.820393,154644.3616,44692.2205,10189.82627,1.13492,53785.53577,1.113943352,6.614299728
454,600191,12442.55983,2521646.4,2521646.4,0.081081,33790.06176,21433.9944,453896.352,121644.2223,19341.43135,0.13082,48491.26027,1.491361694,5.965422157
455,600469,20304.95712,2734674.36,2767073.05,0.053533,32816.09232,14357.04039,929789.2824,263130.3669,61309.37549,1.27152,8467.243533,1.204119983,6.158765763
456,600425,51028.47234,5432432.94,5432432.94,0.100559,79856.76422,50929.05881,2281621.835,391298.1447,109563.4805,0.8078,151238.933,1.447158031,6.151484619
457,300643,4112.850964,1858915.69,4440000.0,0.892583,24320.81361,19750.97921,390372.2949,113793.524,28220.79394,0.86658,221866.8,0.301029996,4.873677845
462,825,223070.5233,23296878.45,23297653.49,0.040712,344793.8011,218408.2355,5824219.613,1383252.158,261434.6579,0.43896,920257.3129,1.041392685,6.229195982
463,592,24090.72413,5550090.8,5602164.59,0.062271,70486.15316,58275.9534,888014.528,263740.3148,72792.32689,0.36393,161454.3835,0.301029996,5.321143014
464,850,23510.45673,3811265.26,3812406.64,0.074468,61742.49721,28108.08129,1600731.409,400182.8523,97644.61596,0.952,60922.25811,1.342422681,5.618322682
465,735,127744.6724,11693009.98,11699377.95,0.114035,204627.6747,83312.69611,3274042.794,751392.8213,149527.1714,1.17586,300323.032,1.462397998,5.910527762
